Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Timestamp,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label
TXN_35587,USER_7281,23.976,Online,2023-02-10 02:49:00,1804.81,Mobile,Sydney,Clothing,0,0,2,350.41,3,Mastercard,214,4568.48,OTP,0.6865,1,0
TXN_32681,USER_4656,54.384,Online,2023-03-26 22:32:00,46648.03,Mobile,New York,Travel,0,1,11,47.14,1,Amex,78,297.39,Password,0.5322,1,0
TXN_40971,USER_8142,38.699999999999996,ATM Withdrawal,2023-08-05 12:29:00,80244.56,Laptop,Mumbai,Restaurants,0,0,7,160.14,2,Amex,59,4792.4,Password,0.4924,0,0
TXN_21022,USER_4366,42.492,POS,2023-01-22 19:26:00,24611.99,Tablet,Mumbai,Travel,0,0,3,340.38,4,Mastercard,143,3318.08,OTP,0.5503,0,1
TXN_6403,USER_4454,69.36,Bank Transfer,2023-08-20 12:11:00,27154.09,Tablet,Mumbai,Groceries,1,0,1,149.8,0,Visa,227,573.2,Biometric,0.2208,0,0
TXN_6727,USER_3914,31.368,Online,2023-03-06 08:36:00,11819.1,Laptop,Mumbai,Travel,1,0,14,115.89,2,Amex,223,3398.03,PIN,0.4839,0,0
TXN_11667,USER_6903,293.976,Online,2023-05-13 06:40:00,55025.08,Mobile,Sydney,Groceries,0,1,14,182.63,0,Amex,123,1337.8,PIN,0.6285,1,0
TXN_29222,USER_6263,46.116,Online,2023-01-22 12:02:00,71810.24,Tablet,London,Groceries,0,0,12,17.61,4,Visa,222,4543.75,PIN,0.098,0,1
TXN_5794,USER_4317,32.628,POS,2023-03-26 07:25:00,71936.53,Mobile,Tokyo,Electronics,0,1,4,137.15,2,Mastercard,17,2509.15,PIN,0.2218,0,0
TXN_46999,USER_3933,262.428,Online,2023-12-18 07:58:00,80822.49,Mobile,New York,Restaurants,0,0,12,61.72,4,Discover,110,4891.28,Password,0.8832,1,1
TXN_4011,USER_7771,167.65200000000002,ATM Withdrawal,2023-04-03 17:06:00,93992.51,Tablet,London,Restaurants,0,0,12,189.55,2,Mastercard,131,4054.71,Password,0.2533,0,0
TXN_28026,USER_1910,154.36799999999997,Online,2023-10-27 12:19:00,77451.38,Laptop,Mumbai,Restaurants,0,0,11,308.51,1,Amex,88,4970.63,Biometric,0.5206,0,0
TXN_14935,USER_7558,51.168,Online,2023-12-21 17:23:00,96350.17,Tablet,Tokyo,Clothing,0,0,7,65.76,3,Discover,207,3845.93,Password,0.7458,0,0
