Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Timestamp,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label
TXN_35587,USER_7281,19.98,Online,2023-02-10 02:49:00,1804.81,Mobile,Sydney,Clothing,0,0,2,350.41,3,Mastercard,214,4568.48,OTP,0.6865,1,0
TXN_32681,USER_4656,45.32,Bank Transfer,2023-03-26 22:32:00,46648.03,Mobile,New York,Travel,0,1,11,47.14,1,Amex,78,297.39,Password,0.5322,1,0
TXN_40971,USER_8142,32.25,ATM Withdrawal,2023-08-05 12:29:00,80244.56,Laptop,Tokyo,Restaurants,0,0,7,160.14,2,Amex,59,4792.4,Password,0.4924,0,0
TXN_21022,USER_4366,35.41,POS,2023-01-22 19:26:00,24611.99,Tablet,Mumbai,Travel,0,0,3,340.38,4,Mastercard,143,3318.08,OTP,0.5503,0,1
TXN_6403,USER_4454,57.8,Bank Transfer,2023-08-20 12:11:00,27154.09,Tablet,Sydney,Groceries,1,0,1,149.8,0,Visa,227,573.2,Biometric,0.2208,0,0
TXN_6727,USER_3914,26.14,Online,2023-03-06 08:36:00,11819.1,Laptop,Sydney,Travel,1,0,14,115.89,2,Amex,223,3398.03,PIN,0.4839,0,0
TXN_11667,USER_6903,244.98,ATM Withdrawal,2023-05-13 06:40:00,55025.08,Mobile,Sydney,Groceries,0,1,14,182.63,0,Amex,123,1337.8,PIN,0.6285,1,0
TXN_29222,USER_6263,38.43,Online,2023-01-22 12:02:00,71810.24,Tablet,London,Groceries,0,0,12,17.61,4,Visa,222,4543.75,PIN,0.098,0,1
TXN_5794,USER_4317,27.19,POS,2023-03-26 07:25:00,71936.53,Laptop,Tokyo,Electronics,0,1,4,137.15,2,Mastercard,17,2509.15,PIN,0.2218,0,0
TXN_46999,USER_3933,218.69,Online,2023-12-18 07:58:00,80822.49,Laptop,New York,Restaurants,0,0,12,61.72,4,Discover,110,4891.28,Password,0.8832,1,1
TXN_4011,USER_7771,139.71,ATM Withdrawal,2023-04-03 17:06:00,93992.51,Tablet,London,Restaurants,0,0,12,189.55,2,Mastercard,131,4054.71,Password,0.2533,0,0
TXN_28026,USER_1910,128.64,Online,2023-10-27 12:19:00,77451.38,Laptop,Mumbai,Restaurants,0,0,11,308.51,1,Amex,88,4970.63,Biometric,0.5206,0,0
TXN_14935,USER_7558,42.64,POS,2023-12-21 17:23:00,96350.17,Tablet,Tokyo,Clothing,0,0,7,65.76,3,Discover,207,3845.93,Password,0.7458,0,0
TXN_30518,USER_2817,161.08,ATM Withdrawal,2023-06-21 01:22:00,696.66,Mobile,Mumbai,Clothing,0,0,7,270.07,1,Amex,15,3932.35,Biometric,0.8747,0,1
TXN_31717,USER_4723,82.66,Bank Transfer,2023-12-30 05:19:00,20605.48,Mobile,Tokyo,Electronics,0,0,9,221.36,3,Mastercard,35,1695.52,PIN,0.873,0,1
TXN_8074,USER_1667,185.92,Bank Transfer,2023-12-02 13:34:00,84983.76,Mobile,Mumbai,Clothing,0,0,6,265.55,0,Discover,48,1414.54,OTP,0.7156,0,0
TXN_4003,USER_1870,89.45,Bank Transfer,2023-11-29 00:46:00,50632.17,Laptop,Tokyo,Restaurants,0,0,12,418.36,4,Discover,9,2983.6,Password,0.3555,0,1
TXN_33700,USER_4109,136.95,POS,2023-06-04 22:47:00,63840.79,Tablet,Tokyo,Electronics,0,1,4,454.02,3,Amex,214,1744.62,Biometric,0.8514,0,1
TXN_2072,USER_6926,460.87,Online,2023-07-21 19:53:00,48410.29,Tablet,Sydney,Groceries,0,1,3,300.53,2,Visa,16,1880.29,PIN,0.756,1,0
TXN_46285,USER_3600,46.22,Online,2023-08-01 16:10:00,59386.39,Tablet,Sydney,Electronics,0,0,3,255.1,3,Discover,127,1945.98,Password,0.5566,1,0
TXN_30639,USER_3248,4.43,ATM Withdrawal,2023-10-30 04:54:00,94196.82,Laptop,London,Groceries,0,0,13,405.08,0,Discover,204,497.05,Biometric,0.4783,0,0
TXN_40669,USER_7981,341.24,ATM Withdrawal,2023-11-20 10:36:00,38766.51,Tablet,Tokyo,Clothing,0,0,14,220.56,2,Visa,201,688.21,PIN,0.7321,1,0
TXN_1738,USER_4683,70.46,Bank Transfer,2023-03-28 21:36:00,74430.85,Tablet,Sydney,Travel,0,0,11,244.89,0,Discover,222,1590.92,Password,0.9121,0,1
